Time,Tag_Group,Equipment,Tag_Name,Value,Quality,Source_File
2025-10-20 08:49:53.514,WeighFeeder,FEB_002,Belt_Speed,0.19,Good,WF with current data.csv
2025-10-20 08:49:53.514,WeighFeeder,CVB_13A,Motor_Current,17.19,Good,WF with current data.csv
2025-10-20 08:49:54.522,WeighFeeder,FEB_002,Load,140.24,Good,WF with current data.csv
2025-10-20 08:49:55.520,WeighFeeder,FEB_002,Load,186.69,Good,WF with current data.csv
2025-10-20 08:50:00.518,WeighFeeder,Other,Rolling_Avg,131.74,Good,WF with current data.csv
2025-10-20 08:50:10.518,WeighFeeder,CVB_13A,Motor_Current,16.78,Good,WF with current data.csv
2025-10-20 08:50:10.518,WeighFeeder,CVB_109,Motor_Current,29.21,Good,WF with current data.csv
2025-10-20 08:50:10.518,WeighFeeder,FEB_002,Belt_Speed,0.28,Good,WF with current data.csv
2025-10-20 08:50:10.518,WeighFeeder,Other,Rolling_Avg,132.93,Good,WF with current data.csv
2025-10-20 08:50:11.518,WeighFeeder,CVB_13A,Motor_Current,17.32,Good,WF with current data.csv
2025-10-20 08:50:11.518,WeighFeeder,CVB_109,Motor_Current,30.71,Good,WF with current data.csv
2025-10-20 08:50:11.518,WeighFeeder,FEB_002,Belt_Speed,0.29,Good,WF with current data.csv
2025-10-20 08:50:13.520,WeighFeeder,FEB_002,Load,105.61,Good,WF with current data.csv
2025-10-20 08:50:14.518,WeighFeeder,FEB_002,Load,104.86,Good,WF with current data.csv
2025-10-20 08:50:15.839,WeighFeeder,Other,Rolling_Avg,132.93,Good,WF with current data.csv
2025-10-20 08:50:15.839,WeighFeeder,Other,Other,1.0,Good,WF with current data.csv
2025-10-20 08:50:20.518,WeighFeeder,Other,Rolling_Avg,132.06,Good,WF with current data.csv
2025-10-20 08:50:28.526,WeighFeeder,CVB_13A,Motor_Current,16.83,Good,WF with current data.csv
2025-10-20 08:50:28.526,WeighFeeder,FEB_002,Belt_Speed,0.35,Good,WF with current data.csv
2025-10-20 08:50:28.526,WeighFeeder,CVB_109,Motor_Current,31.97,Good,WF with current data.csv
2025-10-20 08:50:29.523,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
